transaction_id,account_id,timestamp,amount,merchant_category,location,is_fraud
TRX_0000039,ACC_0151,2025-10-06 06:41:06,62.17,Jewelry,Helsinki,0
TRX_0000040,ACC_0447,2025-10-01 06:59:44,86.38,Electronics,Turku,0
TRX_0000041,ACC_0179,2025-10-09 22:03:04,456.27,Utility Bill,Vantaa,0
TRX_0000042,ACC_0369,2025-09-17 10:31:45,72.02,Groceries,Helsinki,0
TRX_0000043,ACC_0377,2025-09-20 02:19:05,186.05,Electronics,Vantaa,0
TRX_0000044,ACC_0117,2025-09-22 03:25:25,91.25,Jewelry,Oulu,0
TRX_0000045,ACC_0144,2025-09-16 13:17:35,60.18,Groceries,Helsinki,0
TRX_0000046,ACC_0240,2025-10-08 14:39:16,37.76,Gas Station,Turku,0
TRX_0000047,ACC_0495,2025-09-14 02:23:05,41.63,Subscription,Turku,0
TRX_0000048,ACC_0181,2025-09-28 06:58:44,247.92,Jewelry,Tampere,0
TRX_0000049,ACC_0198,2025-10-06 23:27:19,188.48,Fast Food,Vantaa,0
TRX_0000050,ACC_0054,2025-09-15 08:52:09,180.9,Gambling,Tampere,0
TRX_0000051,ACC_0168,2025-10-03 10:09:05,277.81,Gas Station,Vantaa,0
TRX_0000052,ACC_0302,2025-10-05 05:05:06,46.24,Fast Food,Turku,0
TRX_0000053,ACC_0443,2025-09-28 08:08:00,1688.0511189449599,Electronics,Turku,1
TRX_0000054,ACC_0153,2025-09-24 10:48:05,35.87,Fast Food,Vantaa,0
TRX_0000055,ACC_0461,2025-10-01 05:23:09,37.95,Groceries,Turku,0
TRX_0000056,ACC_0161,2025-09-18 21:04:47,33.91,Utility Bill,Espoo,0
TRX_0000057,ACC_0482,2025-09-22 09:10:52,32.24,Gambling,Turku,0
TRX_0000058,ACC_0435,2025-09-27 01:50:11,198.93,Travel,Helsinki,0
TRX_0000059,ACC_0093,2025-09-15 03:05:35,106.63,Groceries,Oulu,0
TRX_0000060,ACC_0031,2025-09-30 02:12:00,83.46,Fast Food,Tampere,0
TRX_0000061,ACC_0406,2025-09-29 21:57:46,99.74,Fast Food,Espoo,0
TRX_0000062,ACC_0123,2025-09-24 23:44:15,283.21,Travel,Vantaa,0
TRX_0000063,ACC_0424,2025-09-17 04:08:42,21.01,Gas Station,Oulu,0
TRX_0000064,ACC_0015,2025-10-05 22:16:19,90.45,Groceries,Helsinki,0
TRX_0000065,ACC_0405,2025-10-08 14:07:16,173.89,Online Retail,Espoo,0
TRX_0000066,ACC_0319,2025-09-29 02:01:01,200.14,Travel,Helsinki,0
TRX_0000067,ACC_0450,2025-10-04 17:22:55,64.66,Jewelry,Helsinki,0
TRX_0000068,ACC_0187,2025-10-08 10:22:57,42.0,Fast Food,Turku,0
TRX_0000069,ACC_0407,2025-09-30 00:51:35,27.02,Jewelry,Tampere,0
TRX_0000070,ACC_0143,2025-09-17 20:28:27,23.44,Utility Bill,Turku,0
TRX_0000071,ACC_0238,2025-09-15 13:26:51,61.36,Fast Food,Tampere,0
TRX_0000072,ACC_0443,2025-10-07 07:53:14,66.33,Travel,Espoo,0
TRX_0000073,ACC_0412,2025-09-25 20:01:34,367.4,Fast Food,Tampere,0
TRX_0000074,ACC_0443,2025-09-15 08:36:03,137.65,Groceries,Tampere,0
TRX_0000075,ACC_0296,2025-09-16 09:18:55,907.94,Subscription,Helsinki,0
TRX_0000076,ACC_0216,2025-10-10 08:21:03,69.21,Subscription,Oulu,0
TRX_0000077,ACC_0026,2025-10-01 09:18:04,76.22,Electronics,Vantaa,0
TRX_0000078,ACC_0214,2025-10-04 13:47:44,536.45,Groceries,Helsinki,0
TRX_0000079,ACC_0074,2025-09-18 23:37:53,80.37,ATM Withdrawal,Helsinki,0
TRX_0000080,ACC_0019,2025-09-25 22:45:53,224.44,Jewelry,Tampere,0
TRX_0000081,ACC_0462,2025-09-30 12:53:21,250.43,Travel,Turku,0
TRX_0000082,ACC_0166,2025-10-10 11:52:11,222.49,Electronics,Helsinki,0
TRX_0000083,ACC_0254,2025-10-02 01:45:46,67.1,ATM Withdrawal,Helsinki,0
TRX_0000084,ACC_0139,2025-10-08 19:42:12,20.91,Utility Bill,Tampere,0
TRX_0000085,ACC_0089,2025-09-30 10:54:07,142.36,Travel,Vantaa,0
TRX_0000086,ACC_0060,2025-10-02 00:16:46,1018.55,Jewelry,Oulu,0
TRX_0000087,ACC_0056,2025-10-03 12:18:06,42.46,Groceries,Vantaa,0
TRX_0000088,ACC_0127,2025-10-05 11:10:45,217.34,Gas Station,Oulu,0
TRX_0000089,ACC_0486,2025-10-06 16:13:46,96.3,Utility Bill,Helsinki,0
TRX_0000090,ACC_0246,2025-09-19 14:45:12,45.89,Fast Food,Vantaa,0
TRX_0000091,ACC_0369,2025-09-19 02:11:01,157.87,Gas Station,Vantaa,0
TRX_0000092,ACC_0202,2025-10-02 07:35:26,159.52,Jewelry,Vantaa,0
TRX_0000093,ACC_0144,2025-09-21 01:40:53,28.432917604440977,Gambling,Oulu,1
TRX_0000094,ACC_0180,2025-09-14 02:54:49,99.58,Jewelry,Turku,0
TRX_0000095,ACC_0299,2025-09-16 09:02:15,15.99,Electronics,Vantaa,0
TRX_0000096,ACC_0449,2025-09-26 07:20:48,165.42,Fast Food,Oulu,0
TRX_0000097,ACC_0007,2025-09-29 08:17:37,106.27,Utility Bill,Helsinki,0
TRX_0000098,ACC_0004,2025-09-30 23:01:01,47.86,Gas Station,Espoo,0
TRX_0000099,ACC_0467,2025-09-25 21:46:49,221.82,Jewelry,Oulu,0
TRX_0000100,ACC_0102,2025-09-16 00:46:23,33.33,Online Retail,Espoo,0
TRX_0000101,ACC_0142,2025-10-07 08:04:19,15.71,Utility Bill,Tampere,0
TRX_0000102,ACC_0050,2025-09-14 07:31:32,273.04,Gambling,Helsinki,0
TRX_0000103,ACC_0417,2025-09-19 08:42:41,35.26,Subscription,Tampere,0
TRX_0000104,ACC_0315,2025-09-13 17:09:01,139.35,Groceries,Vantaa,0
TRX_0000105,ACC_0033,2025-09-21 12:18:04,80.28,Online Retail,Tampere,0
TRX_0000106,ACC_0196,2025-10-08 19:54:34,121.93,Groceries,Vantaa,0
TRX_0000107,ACC_0221,2025-09-21 01:58:46,105.04,Subscription,Vantaa,0
TRX_0000108,ACC_0102,2025-10-01 15:15:55,177.21,Utility Bill,Helsinki,0
TRX_0000109,ACC_0244,2025-10-04 16:34:08,112.04,Utility Bill,Oulu,0
TRX_0000110,ACC_0305,2025-09-15 04:48:00,66.47,Travel,Turku,0
TRX_0000111,ACC_0429,2025-09-23 23:46:30,139.8,Travel,Espoo,0
TRX_0000112,ACC_0291,2025-09-25 14:38:14,44.5,Gambling,Espoo,0
TRX_0000113,ACC_0431,2025-09-21 10:47:27,103.98,Gambling,Espoo,0
TRX_0000114,ACC_0073,2025-09-29 16:10:55,114.84,Gambling,Helsinki,0
TRX_0000115,ACC_0422,2025-10-04 14:19:59,63.71,Electronics,Espoo,0
TRX_0000116,ACC_0306,2025-10-02 08:38:34,85.52,Travel,Oulu,0
TRX_0000117,ACC_0208,2025-10-06 04:02:11,133.77,Online Retail,Turku,0
TRX_0000118,ACC_0427,2025-09-12 12:58:59,194.53,Electronics,Vantaa,0
TRX_0000119,ACC_0189,2025-10-01 18:40:06,32.59,Utility Bill,Oulu,0
TRX_0000120,ACC_0159,2025-10-10 14:24:17,44.54,Utility Bill,Espoo,0
TRX_0000121,ACC_0069,2025-10-02 04:59:01,65.53,Electronics,Helsinki,0
TRX_0000122,ACC_0138,2025-09-13 23:48:49,109.18,Fast Food,Turku,0
TRX_0000123,ACC_0116,2025-09-15 07:25:52,249.27,Subscription,Turku,0
TRX_0000124,ACC_0129,2025-09-29 21:35:30,297.27,Electronics,Turku,0
TRX_0000125,ACC_0263,2025-10-11 08:30:27,68.36,Utility Bill,Helsinki,0
TRX_0000126,ACC_0085,2025-10-08 06:19:50,96.98,Fast Food,Oulu,0
TRX_0000127,ACC_0140,2025-09-13 23:20:50,226.34,ATM Withdrawal,Vantaa,0
TRX_0000128,ACC_0292,2025-09-21 03:24:53,151.1,Subscription,Tampere,0
TRX_0000129,ACC_0442,2025-09-20 23:06:31,50.65,Jewelry,Helsinki,0
TRX_0000130,ACC_0434,2025-10-04 09:26:33,1474.1169861867825,Jewelry,Oulu,1
TRX_0000131,ACC_0190,2025-10-01 11:40:54,316.08,Travel,Vantaa,0
TRX_0000132,ACC_0334,2025-09-23 05:29:32,196.36,Jewelry,Helsinki,0
TRX_0000133,ACC_0248,2025-09-25 08:40:05,164.53,Subscription,Tampere,0
TRX_0000134,ACC_0198,2025-09-15 02:49:01,111.32,Subscription,Turku,0
TRX_0000135,ACC_0217,2025-09-21 00:57:51,57.81,Electronics,Vantaa,0
TRX_0000136,ACC_0172,2025-10-03 19:49:48,22.18,Travel,Helsinki,0
TRX_0000137,ACC_0482,2025-09-19 00:04:09,82.99,Groceries,Oulu,0
TRX_0000138,ACC_0103,2025-09-13 00:55:00,90.32,Subscription,Tampere,0
TRX_0000139,ACC_0057,2025-10-06 10:10:38,305.48,Fast Food,Oulu,0
TRX_0000140,ACC_0101,2025-09-22 20:19:45,177.36,Subscription,Oulu,0
TRX_0000141,ACC_0082,2025-09-22 09:52:47,88.43,Subscription,Helsinki,0
TRX_0000142,ACC_0225,2025-09-16 13:55:40,38.39,Gas Station,Turku,0
TRX_0000143,ACC_0089,2025-10-04 15:29:45,1442.83,ATM Withdrawal,Tampere,0
TRX_0000144,ACC_0286,2025-09-29 01:33:44,261.25,Fast Food,Espoo,0
TRX_0000145,ACC_0311,2025-10-10 02:44:09,122.5,Gas Station,Espoo,0
TRX_0000146,ACC_0253,2025-10-06 07:37:01,166.2,Gas Station,Tampere,0
TRX_0000147,ACC_0480,2025-10-02 22:03:18,109.93,Utility Bill,Turku,0
TRX_0000148,ACC_0464,2025-09-15 07:38:36,224.16,Jewelry,Oulu,0
TRX_0000149,ACC_0043,2025-10-07 09:01:43,284.7,Travel,Vantaa,0
TRX_0000150,ACC_0386,2025-10-09 21:11:05,177.39,Gambling,Tampere,0
TRX_0000151,ACC_0492,2025-09-27 03:07:04,55.36,Groceries,Vantaa,0
TRX_0000152,ACC_0200,2025-09-16 01:14:34,97.77,Fast Food,Vantaa,0
TRX_0000153,ACC_0022,2025-09-23 14:59:47,128.43,Travel,Oulu,0
TRX_0000154,ACC_0189,2025-09-14 05:56:19,129.61,Jewelry,Oulu,0
TRX_0000155,ACC_0173,2025-09-20 08:23:36,109.06,Travel,Turku,0
TRX_0000156,ACC_0483,2025-10-06 12:30:00,90.37,Groceries,Tampere,0
TRX_0000157,ACC_0329,2025-10-10 13:37:59,26.52,Gas Station,Oulu,0
TRX_0000158,ACC_0209,2025-09-18 06:10:07,179.2,Fast Food,Vantaa,0
TRX_0000159,ACC_0373,2025-09-28 21:51:53,90.53,Electronics,Tampere,0
TRX_0000160,ACC_0310,2025-09-21 19:05:20,91.93,Gas Station,Vantaa,0
TRX_0000161,ACC_0459,2025-09-15 04:19:35,28.34,ATM Withdrawal,Helsinki,0
TRX_0000162,ACC_0219,2025-10-11 19:59:35,36.51,Travel,Tampere,0
TRX_0000163,ACC_0264,2025-09-22 14:19:12,109.87,Groceries,Oulu,0
TRX_0000164,ACC_0426,2025-09-21 09:41:09,111.86,Online Retail,Vantaa,0
TRX_0000165,ACC_0270,2025-10-07 10:03:57,264.59,Groceries,Tampere,0
TRX_0000166,ACC_0347,2025-09-20 16:06:19,39.64,Jewelry,Oulu,0
TRX_0000167,ACC_0005,2025-09-15 05:42:31,134.71,Electronics,Vantaa,0
TRX_0000168,ACC_0081,2025-09-15 03:08:47,170.59,ATM Withdrawal,Turku,0
TRX_0000169,ACC_0062,2025-09-24 21:21:36,41.69,Groceries,Oulu,0
TRX_0000170,ACC_0061,2025-09-19 01:08:38,17.11,Jewelry,Turku,0
TRX_0000171,ACC_0408,2025-09-22 03:36:40,112.42,Gas Station,Espoo,0
TRX_0000172,ACC_0289,2025-10-04 10:36:30,15.22,Online Retail,Vantaa,0
TRX_0000173,ACC_0441,2025-10-02 12:57:28,104.4,Subscription,Tampere,0
TRX_0000174,ACC_0176,2025-09-19 16:54:14,173.93,Electronics,Tampere,0
TRX_0000175,ACC_0006,2025-10-09 20:36:57,69.07,Subscription,Helsinki,0
TRX_0000176,ACC_0414,2025-09-14 15:06:08,164.34,Gambling,Oulu,0
TRX_0000177,ACC_0092,2025-10-07 09:08:56,47.19,Subscription,Tampere,0
TRX_0000178,ACC_0241,2025-10-05 16:12:33,138.81,Subscription,Helsinki,0
TRX_0000179,ACC_0434,2025-10-07 15:36:16,61.91,ATM Withdrawal,Oulu,0
TRX_0000180,ACC_0199,2025-09-19 04:43:57,148.04,Groceries,Vantaa,0
TRX_0000181,ACC_0207,2025-09-29 10:06:03,41.9,Groceries,Espoo,0
TRX_0000182,ACC_0334,2025-09-14 23:29:11,158.64,ATM Withdrawal,Oulu,0
TRX_0000183,ACC_0044,2025-10-08 02:22:30,57.67,Subscription,Turku,0
TRX_0000184,ACC_0274,2025-10-05 03:57:02,125.24,ATM Withdrawal,Espoo,0
TRX_0000185,ACC_0398,2025-09-24 14:14:16,134.57,ATM Withdrawal,Espoo,0
TRX_0000186,ACC_0084,2025-10-02 20:38:12,73.5,Travel,Oulu,0
TRX_0000187,ACC_0082,2025-10-02 18:35:44,24.74,Gambling,Helsinki,0
TRX_0000188,ACC_0327,2025-09-16 11:25:02,36.58,Fast Food,Oulu,0
TRX_0000189,ACC_0050,2025-10-07 00:17:08,62.08,Groceries,Turku,0
TRX_0000190,ACC_0313,2025-09-24 02:36:37,41.8,Utility Bill,Turku,0
TRX_0000191,ACC_0125,2025-10-02 12:25:30,258.14,Fast Food,Tampere,0
TRX_0000192,ACC_0044,2025-09-12 06:38:13,66.99,ATM Withdrawal,Vantaa,0
TRX_0000193,ACC_0028,2025-10-04 04:31:26,128.73,Electronics,Helsinki,0
TRX_0000194,ACC_0061,2025-09-12 07:33:12,101.39,Jewelry,Espoo,0
TRX_0000195,ACC_0476,2025-09-17 17:27:28,28.21,Jewelry,Vantaa,0
TRX_0000196,ACC_0092,2025-10-10 05:39:44,116.22,Gambling,Helsinki,0
TRX_0000197,ACC_0082,2025-10-04 12:37:23,92.93,Groceries,Vantaa,0
TRX_0000198,ACC_0218,2025-09-27 10:30:39,269.77,Gas Station,Turku,0
TRX_0000199,ACC_0414,2025-10-10 17:15:23,196.22,Travel,Oulu,0
TRX_0000200,ACC_0280,2025-10-01 00:09:03,510.03,Gambling,Oulu,0
TRX_0000201,ACC_0490,2025-10-01 06:37:48,9.78,Travel,Espoo,0
TRX_0000202,ACC_0010,2025-10-11 16:18:34,66.84,Electronics,Espoo,0
TRX_0000203,ACC_0450,2025-09-27 06:35:23,17.12,Fast Food,Oulu,0
TRX_0000204,ACC_0299,2025-10-01 02:55:32,161.84,Gambling,Oulu,0
TRX_0000205,ACC_0105,2025-10-06 10:35:39,216.79,Gas Station,Tampere,0
TRX_0000206,ACC_0119,2025-09-25 05:25:54,91.83,Electronics,Espoo,0
TRX_0000207,ACC_0105,2025-10-05 09:43:01,43.9,Travel,Espoo,0
TRX_0000208,ACC_0160,2025-09-26 10:03:44,67.38,Electronics,Oulu,0
TRX_0000209,ACC_0398,2025-09-30 22:35:16,25.92,Fast Food,Vantaa,0
TRX_0000210,ACC_0418,2025-09-14 22:59:58,21.4,ATM Withdrawal,Turku,0
TRX_0000211,ACC_0229,2025-10-07 11:06:50,8.65,Groceries,Vantaa,0
TRX_0000212,ACC_0225,2025-09-15 04:44:08,70.41,Fast Food,Espoo,0
TRX_0000213,ACC_0266,2025-09-21 04:01:08,87.41,Gambling,Tampere,0
TRX_0000214,ACC_0094,2025-09-19 15:40:31,11.22,Jewelry,Oulu,0
TRX_0000215,ACC_0172,2025-09-25 04:52:46,91.5,Travel,Oulu,0
TRX_0000216,ACC_0080,2025-09-19 23:45:59,85.35,Travel,Tampere,0
TRX_0000217,ACC_0239,2025-10-01 23:28:44,26.584739836032078,Gambling,Oulu,1
TRX_0000218,ACC_0485,2025-09-18 07:40:31,96.39,Travel,Oulu,0
TRX_0000219,ACC_0236,2025-09-28 03:54:08,69.34,Utility Bill,Tampere,0
TRX_0000220,ACC_0241,2025-10-07 10:13:42,78.39,Electronics,Espoo,0
TRX_0000221,ACC_0189,2025-09-29 01:07:51,76.38,Subscription,Helsinki,0
TRX_0000222,ACC_0494,2025-09-17 20:38:14,271.25,Online Retail,Oulu,0
TRX_0000223,ACC_0423,2025-10-08 17:48:12,17.0,Online Retail,Tampere,0
TRX_0000224,ACC_0425,2025-09-16 12:42:11,46.45,Groceries,Espoo,0
TRX_0000225,ACC_0031,2025-09-15 19:44:24,35.9,ATM Withdrawal,Helsinki,0
TRX_0000226,ACC_0158,2025-09-26 20:58:12,115.53,Gas Station,Vantaa,0
TRX_0000227,ACC_0322,2025-10-01 07:19:54,54.16,Groceries,Turku,0
TRX_0000228,ACC_0408,2025-09-23 08:23:57,50.49,Subscription,Turku,0
TRX_0000229,ACC_0033,2025-09-22 11:59:33,12.83,Gambling,Espoo,0
TRX_0000230,ACC_0305,2025-10-05 05:19:33,155.85,Jewelry,Vantaa,0
TRX_0000231,ACC_0058,2025-10-07 17:32:37,32.06,Groceries,Espoo,0
TRX_0000232,ACC_0225,2025-09-13 11:59:07,32.0,Utility Bill,Oulu,0
TRX_0000233,ACC_0171,2025-09-28 20:14:43,15.08,Utility Bill,Turku,0
TRX_0000234,ACC_0487,2025-09-29 18:29:24,100.42,Utility Bill,Turku,0
TRX_0000235,ACC_0491,2025-09-18 05:52:07,130.95,Groceries,Turku,0
TRX_0000236,ACC_0215,2025-09-19 18:35:38,262.04,Gambling,Vantaa,0
TRX_0000237,ACC_0233,2025-09-23 07:33:18,79.83,Gambling,Tampere,0
TRX_0000238,ACC_0375,2025-09-18 05:52:19,37.51,Subscription,Espoo,0
TRX_0000239,ACC_0088,2025-10-08 09:31:59,161.43,Electronics,Tampere,0
TRX_0000240,ACC_0468,2025-10-11 17:51:42,55.36,Fast Food,Helsinki,0
TRX_0000241,ACC_0086,2025-09-16 23:07:24,136.6,Electronics,Vantaa,0
TRX_0000242,ACC_0418,2025-09-27 14:59:38,31.7,Jewelry,Vantaa,0
TRX_0000243,ACC_0183,2025-09-26 19:55:48,12.89,Travel,Oulu,0
TRX_0000244,ACC_0459,2025-09-16 14:59:44,62.3,Utility Bill,Espoo,0
TRX_0000245,ACC_0405,2025-09-24 08:58:46,70.99,Subscription,Vantaa,0
TRX_0000246,ACC_0280,2025-09-13 08:33:58,87.3,Fast Food,Turku,0
TRX_0000247,ACC_0101,2025-09-16 14:09:53,80.06,Travel,Espoo,0
TRX_0000248,ACC_0095,2025-09-27 02:45:32,87.83,ATM Withdrawal,Tampere,0
TRX_0000249,ACC_0425,2025-09-28 17:01:07,42.91,ATM Withdrawal,Helsinki,0
TRX_0000250,ACC_0067,2025-09-12 23:09:13,22.16,Gambling,Oulu,0
TRX_0000251,ACC_0341,2025-09-19 22:02:30,51.38,Subscription,Helsinki,0
TRX_0000252,ACC_0233,2025-10-10 16:45:37,96.85,ATM Withdrawal,Vantaa,0
TRX_0000253,ACC_0361,2025-10-01 12:31:50,345.45,Gas Station,Espoo,0
TRX_0000254,ACC_0425,2025-10-07 16:11:21,59.74,Electronics,Turku,0
TRX_0000255,ACC_0137,2025-10-03 04:20:08,178.34,Jewelry,Helsinki,0
TRX_0000256,ACC_0212,2025-09-23 01:06:52,150.61,Fast Food,Turku,0
TRX_0000257,ACC_0089,2025-09-20 16:47:20,49.14,Subscription,Tampere,0
TRX_0000258,ACC_0322,2025-09-30 13:06:19,140.33,Utility Bill,Espoo,0
TRX_0000259,ACC_0294,2025-10-09 02:42:06,129.64,Electronics,Espoo,0
TRX_0000260,ACC_0181,2025-09-18 11:23:29,97.4,Jewelry,Tampere,0
TRX_0000261,ACC_0205,2025-10-03 00:16:41,81.1,Gambling,Tampere,0
TRX_0000262,ACC_0157,2025-10-05 04:12:33,97.69,Gas Station,Vantaa,0
TRX_0000263,ACC_0449,2025-10-04 20:51:43,130.18,Travel,Turku,0
TRX_0000264,ACC_0394,2025-09-15 01:05:00,48.29,Jewelry,Helsinki,0
TRX_0000265,ACC_0464,2025-10-04 12:13:34,202.8,Jewelry,Espoo,0
TRX_0000266,ACC_0387,2025-09-13 00:04:25,118.9,Subscription,Vantaa,0
TRX_0000267,ACC_0170,2025-10-11 00:31:31,134.02,Gas Station,Helsinki,0
TRX_0000268,ACC_0019,2025-09-29 14:57:02,10.34,Groceries,Oulu,0
TRX_0000269,ACC_0281,2025-09-21 23:15:52,51.26,Jewelry,Turku,0
TRX_0000270,ACC_0379,2025-09-13 14:16:28,64.14,Travel,Vantaa,0
TRX_0000271,ACC_0366,2025-09-26 23:35:38,51.98,Utility Bill,Vantaa,0
TRX_0000272,ACC_0382,2025-09-12 21:58:54,444.55,Gas Station,Helsinki,0
TRX_0000273,ACC_0287,2025-09-24 17:54:04,31.66,Gas Station,Tampere,0
TRX_0000274,ACC_0259,2025-09-17 07:49:37,40.86,Subscription,Oulu,0
TRX_0000275,ACC_0339,2025-09-28 16:27:17,78.56,Utility Bill,Helsinki,0
TRX_0000276,ACC_0123,2025-09-28 02:12:24,51.61,Utility Bill,Helsinki,0
TRX_0000277,ACC_0455,2025-10-06 16:15:49,17.05,Gambling,Turku,0
TRX_0000278,ACC_0370,2025-09-20 14:29:57,102.21,Subscription,Vantaa,0
TRX_0000279,ACC_0265,2025-10-04 16:14:57,42.07,Travel,Vantaa,0
TRX_0000280,ACC_0063,2025-10-08 22:42:52,95.24,Electronics,Turku,0
TRX_0000281,ACC_0072,2025-10-08 05:36:28,55.16,Subscription,Oulu,0
TRX_0000282,ACC_0140,2025-09-27 04:52:36,51.38,Utility Bill,Helsinki,0
TRX_0000283,ACC_0399,2025-10-07 21:48:20,79.24,Travel,Vantaa,0
TRX_0000284,ACC_0067,2025-10-03 15:18:41,40.29,Subscription,Helsinki,0
TRX_0000285,ACC_0203,2025-10-06 13:08:59,62.48,Subscription,Tampere,0
TRX_0000286,ACC_0032,2025-10-10 20:50:32,200.59,Gambling,Helsinki,0
TRX_0000287,ACC_0264,2025-10-11 02:17:37,44.76,Utility Bill,Turku,0
TRX_0000288,ACC_0033,2025-09-30 14:20:59,522.47,Gas Station,Oulu,0
TRX_0000289,ACC_0394,2025-09-14 09:30:42,387.38,Subscription,Oulu,0
TRX_0000290,ACC_0053,2025-09-30 07:27:17,155.31,Gambling,Vantaa,0
TRX_0000291,ACC_0138,2025-10-07 17:56:22,90.39,Fast Food,Oulu,0
TRX_0000292,ACC_0435,2025-09-29 13:38:22,151.4,Electronics,Turku,0
TRX_0000293,ACC_0181,2025-09-24 00:20:03,36.19,Groceries,Helsinki,0
TRX_0000294,ACC_0357,2025-09-22 10:31:04,212.67,Gas Station,Turku,0
TRX_0000295,ACC_0391,2025-09-21 01:13:03,125.91,Subscription,Helsinki,0
TRX_0000296,ACC_0293,2025-09-14 06:41:34,55.4,Gambling,Espoo,0
TRX_0000297,ACC_0053,2025-10-03 14:30:57,120.11,Groceries,Turku,0
TRX_0000298,ACC_0321,2025-09-19 06:16:03,79.2,Gambling,Turku,0
TRX_0000299,ACC_0014,2025-10-07 06:37:34,503.95,Subscription,Espoo,0
TRX_0000300,ACC_0042,2025-09-21 04:24:40,60.32,Utility Bill,Oulu,0
TRX_0000301,ACC_0499,2025-09-25 22:27:58,50.09,Travel,Oulu,0
TRX_0000302,ACC_0148,2025-10-05 02:48:50,16.25,Groceries,Vantaa,0
TRX_0000303,ACC_0463,2025-10-11 07:19:41,156.13,Electronics,Tampere,0
TRX_0000304,ACC_0102,2025-10-11 12:03:28,159.66,Electronics,Turku,0
TRX_0000305,ACC_0380,2025-10-04 19:59:21,88.03,ATM Withdrawal,Espoo,0
TRX_0000306,ACC_0224,2025-09-21 20:31:51,164.05,Electronics,Turku,0
TRX_0000307,ACC_0030,2025-09-14 06:34:31,48.11,Subscription,Espoo,0
TRX_0000308,ACC_0298,2025-09-27 18:13:05,156.48,Gas Station,Turku,0
TRX_0000309,ACC_0407,2025-10-10 10:53:46,152.44,Travel,Vantaa,0
